datadatetime,venuename,typeofspace,current,expected
2020-03-27 11:00:00,San Pedro Fish Market,shopping,6,13
2020-03-27 12:00:00,San Pedro Fish Market,shopping,6,19
2020-03-27 13:00:00,San Pedro Fish Market,shopping,4,24
2020-03-27 14:00:00,San Pedro Fish Market,shopping,3,26
2020-03-27 15:00:00,San Pedro Fish Market,shopping,5,25
2020-03-27 16:00:00,San Pedro Fish Market,shopping,5,22
2020-03-27 17:00:00,San Pedro Fish Market,shopping,4,18
2020-03-27 18:00:00,San Pedro Fish Market,shopping,4,14
2020-03-27 19:00:00,San Pedro Fish Market,shopping,5,9
2020-03-27 20:00:00,San Pedro Fish Market,shopping,0,0
2020-03-27 21:00:00,San Pedro Fish Market,shopping,0,0
2020-03-27 22:00:00,San Pedro Fish Market,shopping,0,0
2020-03-27 23:00:00,San Pedro Fish Market,shopping,0,0
2020-03-28 00:00:00,San Pedro Fish Market,shopping,0,0
2020-03-28 01:00:00,San Pedro Fish Market,shopping,0,0
2020-03-28 02:00:00,San Pedro Fish Market,shopping,0,0
2020-03-28 03:00:00,San Pedro Fish Market,shopping,0,0
